City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,Belmonte,BR,80.38,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
634,Singarayakonda,IN,85.91,overcast clouds,15.25,80.0333,srinu tiffen center
637,Olinda,BR,80.35,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
641,Buala,SB,78.87,light rain,-8.145,159.5921,Maringe Lagoon Lodge
646,Kirakira,SB,77.34,scattered clouds,-10.4544,161.9205,SanBiz Lodge
647,Manokwari,ID,76.84,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
651,Port Keats,AU,81.43,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
653,Tuy Hoa,VN,76.3,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
655,Acapulco,MX,84.94,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
656,Jalor,IN,82.38,broken clouds,25.35,72.6167,Hotel Mansarovar
658,Saint-Georges,GD,84.96,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
659,Mahibadhoo,MV,83.5,clear sky,3.7833,72.9667,Omadhoo Inn
661,Dakar,SN,83.41,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
663,Daru,PG,76.71,overcast clouds,-9.0763,143.2092,Daru Lodge
664,Callaway,US,89.98,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
