City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Labuan,MY,5.2767,115.2417,78.75,73,100,6.04,overcast clouds
335,Yulara,AU,-25.2406,130.9889,45.03,41,75,10.02,broken clouds
336,El Banco,CO,9.0011,-73.9758,92.19,52,100,3.69,overcast clouds
337,Kalianget,ID,-7.05,113.9333,81.12,74,99,9.33,overcast clouds
338,Sur,OM,22.5667,59.5289,87.82,59,40,11.1,scattered clouds
339,Si Sa Ket,TH,14.8333,104.3333,74.39,94,100,2.98,light rain
340,Iskateley,RU,67.6803,53.1512,37.26,90,74,7.52,broken clouds
341,Jinka,ET,5.65,36.65,68.63,67,93,1.68,overcast clouds
342,Santiago Del Estero,AR,-27.7951,-64.2615,63.25,57,100,6.11,overcast clouds
343,Parabel,RU,58.6978,81.4825,29.95,98,87,6.55,overcast clouds
344,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,77,20,8.48,few clouds
345,Ahuimanu,US,21.4447,-157.8378,78.78,73,96,15.97,overcast clouds
